27	12	51	1000
0	40	0	1140	0	33.6587	-7.41313	1	33.6587	-7.41313
1	40	0	1140	2	33.6587	-7.41313	3	33.6587	-7.41313
2	29	0	1140	4	33.6587	-7.41313	5	33.6587	-7.41313
3	29	0	1140	6	33.6587	-7.41313	7	33.6587	-7.41313
4	24	0	1140	8	33.6587	-7.41313	9	33.6587	-7.41313
5	24	0	1140	10	33.6587	-7.41313	11	33.6587	-7.41313
6	12	0	1140	12	33.6587	-7.41313	13	33.6587	-7.41313
7	12	0	1140	14	33.6587	-7.41313	15	33.6587	-7.41313
8	7	0	1140	16	33.6587	-7.41313	17	33.6587	-7.41313
9	7	0	1140	18	33.6587	-7.41313	19	33.6587	-7.41313
10	2000	0	1140	20	33.6587	-7.41313	21	33.6587	-7.41313
11	2000	0	1140	22	33.6587	-7.41313	23	33.6587	-7.41313
0	14	28	0	1440	24	33.254174	-8.508038		
1	3	15	0	1440	25	34.0378722	-4.9981141		
2	37	74	0	1440	26	33.5153253	-7.6586221		
3	1	15	0	1440	27	33.537916	-7.641355		
4	5	40	600	840	28	33.5623238	-7.5942645		
5	1	31	600	840	29	31.6544169	-8.0190421		
6	1	30	600	840	30	33.9559819	-6.8725866		
7	38	106	510	720	31	33.5623238	-7.5942645		
8	8	46	510	720	32	33.5623238	-7.5942645		
9	9	17	0	1440	33	33.59425	-7.643527		
10	5	41	420	600	34	34.0450097	-4.9951452		
11	1	32	510	720	35	31.5940604	-7.988777		
12	4	37	510	720	36	34.0679962	-6.7923379		
13	17	64	510	720	37	33.5446644	-7.6405404		
14	6	42	510	720	38	28.9685369	-10.0324273		
15	4	38	510	720	39	33.707651	-7.3467608		
16	14	59	510	720	40	35.1218872	-2.9261078		
17	5	40	510	720	41	33.5459551	-7.549544		
18	1	15	0	1440	42	33.9562292	-6.8408024		
19	1	15	0	1440	43	33.5389704	-7.6427173		
20	1	15	0	1440	44	33.540373	-7.5812873		
21	3	15	0	1440	45	33.584503	-7.635884		
22	1	15	0	1440	46	33.5973655	-7.6355885		
23	1	15	0	1440	47	33.5963039	-7.6664557		
24	1	30	420	600	48	34.0450097	-4.9951452		
25	1	30	420	600	49	31.5928238	-7.9858938		
26	1	30	420	600	50	33.577586	-7.704301
